Pressure,T,SiO2,TiO2,Al2O3,FeO,MgO,CaO,NiO,Na2O,K2O,H2O,Fe,Ni+Cu+Co,S,O,SCSS measurement
1.5,1673.15,41.46032,0,16.47432,7.18504,14.98118,15.12198,0,0,0,0,57.70598333,2.934173333,37.83952,1.520323333,2402.2
1.5,1673.15,52.034325,0,15.595525,9.165425,8.9822,10.595425,0,0,0,0,61.40823,0.91914,36.28962,1.38301,2165
1.5,1673.15,52.19167975,0,15.3324481,10.04608734,8.918383544,10.97272278,0,0,0,0,61.40668684,1.559139474,35.01537368,2.0188,1644.358974
1.5,1673.15,47.51657692,0.781311538,14.89148077,9.062523077,9.991557692,11.88925769,0,1.758753846,0,0,60.78985938,0.344003125,36.94949063,1.916646875,2347.653846
1.5,1673.15,48.23358974,0,15.00043077,8.276648718,10.06265385,11.98942051,0,1.798448718,0,0,60.75977826,0.263073913,36.93026522,2.046882609,2343.102564
1.5,1673.15,60.63927027,0.562043243,16.75136757,5.474008108,3.152389189,5.984121622,0,3.74407027,1.142354054,0,56.96102963,2.61507037,38.72125185,1.702648148,884.6594595
1.5,1673.15,56.27910833,0.337395833,15.75981458,5.162339583,3.34149375,11.35160833,0,2.62298125,2.495941667,0,61.918925,0.3726875,37.07747917,0.630908333,1209.725
1.5,1673.15,54.44615652,1.389747826,13.96385217,7.097604348,5.388934783,6.743991304,0,3.310286957,3.200313043,0,59.7851,1.695605,36.37979,2.139505,744
1.5,1673.15,52.84494643,1.479617857,18.79665357,4.425367857,3.697882143,4.415635714,0,7.959528571,3.294046429,0,58.48817333,2.060356667,36.79603,2.65544,712
1.5,1673.15,57.31898235,0.016105882,14.38702941,7.053158824,10.36084118,0.663988235,0,7.580882353,0.033605882,0,57.83485789,3.3989,36.6573,2.108942105,644
1.5,1908.15,49.42256923,0.865723077,9.391858974,11.31662308,16.93627436,7.789130769,0,1.221912821,0.734012821,0,57.97779474,5.119557895,34.56845789,2.334189474,1496
2.5,2073.15,47.09335,0.0149,9.9686125,3.118375,21.3377375,18.1738375,0,0.0506375,0,0,64.6563125,0.1353875,34.2651625,1.6732,5696.125
2.5,2073.15,44.70448,0.02597,10.08005,7.59037,20.04101,16.80721,0,0.04453,0,0,63.7439,0.160366667,35.53716667,0.419388889,3357.5
2.5,2073.15,43.49182,0.01489,9.42356,10.06881,19.61193,16.76176,0,0.04567,0,0,64.7348875,0.1051875,34.1735625,1.86595,3800.888889
1.5,2073.15,47.50727,0.01915,17.02956,0.00823,12.89076,20.28257,0,0.08807,0,0,0.0701,74.1198125,21.94235,0,2003.4
1.5,2073.15,47.596875,0.02335,16.43533333,0.004558333,13.31590833,20.56485833,0.067349006,0.05445,0,0,0.048585714,70.23988571,27.53205714,0,894.4166667
1.5,2073.15,47.495225,0.045375,10.0503,3.274825,21.327075,17.6451,0,0.07625,0,0,63.12378571,0.161642857,35.5709,0.684385714,7037
1.5,2073.15,45.3299,0.028781818,9.414318182,7.241727273,20.39255455,17.20465455,0,0.081481818,0,0,64.54381111,0.170866667,34.38677778,1.446522222,4943.818182
